"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"15S_rRNA",15.1789843643939,-0.331517936379353,0.514414969604169,-0.644456238578066,0.519279626294362,0.591803271914996
"21S_rRNA",94.6299972827693,-0.0283350831479594,0.441758002168218,-0.0641416409185263,0.94885744543287,0.963138611056915
"HRA1",2.70514654543655,-0.850216614718235,0.365379623144607,-2.32694042267853,0.0199684363805559,0.0311339242660571
"ICR1",142.15281765299,0.219454323272447,0.0534337594442412,4.10703505714305,4.00770420837002e-05,8.7995522659998e-05
"LSR1",182.937388246288,-0.135140758216609,0.238949442588409,-0.565562140479188,0.571691470512653,0.642067857250048
"NME1",24.7604309823384,0.0409046827241437,0.182848145694408,0.223708490828817,0.822984138657835,0.865643408230466
"PWR1",0,NA,NA,NA,NA,NA
"Q0010",0,NA,NA,NA,NA,NA
"Q0017",0,NA,NA,NA,NA,NA
"Q0032",0,NA,NA,NA,NA,NA
"Q0045",1.9260601748081,0.877022966213953,0.53234859350148,1.64745991051729,0.0994635498492492,0.136269619480778
"Q0050",7.78703664467122,-0.164500198055438,0.466913831241987,-0.35231382548225,0.72460292078927,0.781682754418488
"Q0055",5.53915454339077,0.157046965474633,0.532453286817172,0.294949753082391,0.768032264169837,0.818807242948163
"Q0060",0.282044746590573,-0.498698641169504,1.09578362845636,-0.455106855239317,0.649032366440005,0.713779959830663
"Q0065",0.159347311305897,-0.645775570421423,1.54885615216559,-0.416937085809105,0.676724426468923,0.738566925222865
"Q0070",0.0271760005862641,-0.501510480406636,2.9566127034175,-0.16962332598617,0.865306376896738,0.898888940904962
"Q0075",0.114561260325999,-0.790044788139004,1.8690526256746,-0.42269799003324,0.672515622260212,0.734887105715443
"Q0080",0,NA,NA,NA,NA,NA
"Q0085",0.63313526258417,0.213523806370658,0.910934246577503,0.234400899047208,0.814673760747965,0.858214517639395
"Q0092",0,NA,NA,NA,NA,NA
"Q0105",0.587832738883476,1.39198621519755,0.920408967103726,1.51235620789066,0.130443269095081,0.174772971766995
"Q0110",0.0859163106873485,-0.501508111627462,2.27490571226513,-0.220452262668991,0.825518946671258,0.867778856074508
"Q0115",0,NA,NA,NA,NA,NA
"Q0120",0.218890052258877,0.37881843713857,1.089967984087,0.34755005896424,0.728178117777121,0.784393559691327
"Q0130",3.4372861051049,0.648216696432143,0.43447514016213,1.49195347791418,0.135711341709682,0.180992307022276
"Q0140",0,NA,NA,NA,NA,NA
"Q0142",0,NA,NA,NA,NA,NA
"Q0143",0,NA,NA,NA,NA,NA
"Q0144",0,NA,NA,NA,NA,NA
"Q0160",1.44021925369863,-0.632846076379877,0.594824267721139,-1.06392107841263,0.28736445337481,0.353754487252204
"Q0182",0,NA,NA,NA,NA,NA
"Q0250",1.41701638010152,0.447526448932891,0.70187196658857,0.63761835525086,0.52372214423909,0.596076212809513
"Q0255",0.0618674607184656,0.0755621420729066,2.91698919909987,0.0259041555917395,0.97933378547728,0.984485914116354
"Q0275",1.33812991225051,-0.807714857404237,0.778373654442823,-1.03769552424332,0.299411829353748,0.366616940926386
"Q0297",0,NA,NA,NA,NA,NA
"RDN18-1",0,NA,NA,NA,NA,NA
"RDN18-2",0,NA,NA,NA,NA,NA
"RDN25-1",0,NA,NA,NA,NA,NA
"RDN25-2",0,NA,NA,NA,NA,NA
"RDN37-1",0,NA,NA,NA,NA,NA
"RDN37-2",0,NA,NA,NA,NA,NA
"RDN5-1",83.7417388056402,-0.0752965870972707,0.328842598754375,-0.228974553122032,0.818888694400714,0.862258583925075
"RDN5-2",4.68325204964499,-0.24681954546314,0.260375206083086,-0.947937974495081,0.343161031286085,0.413488305170253
"RDN5-3",0,NA,NA,NA,NA,NA
"RDN5-4",0,NA,NA,NA,NA,NA
"RDN5-5",0,NA,NA,NA,NA,NA
"RDN5-6",41.6809942201601,0.0652507344267225,0.436951079239216,0.149331898985881,0.881291745715146,0.910955059169721
"RDN58-1",0,NA,NA,NA,NA,NA
"RDN58-2",0,NA,NA,NA,NA,NA
"RNA170",16.2516909931407,0.530902174527686,0.134810342818708,3.93814126889091,8.21152463602007e-05,0.000174020572924159
