genes,logFC,logCPM,F,PValue,FDR
YML123C,-4.67786155680873,9.24339821074658,1382.61053865706,1.73351579787356e-11,6.09206293469919e-08
YDR033W,-3.96079278410749,9.08871268766218,1267.66823593739,2.59546422276762e-11,6.09206293469919e-08
YHR215W,-4.47136718053132,7.27060091570563,1223.62875948042,3.0591102476713e-11,6.09206293469919e-08
YGR234W,-4.30139525666688,8.54281038300717,1155.41744002128,3.99348602733477e-11,6.09206293469919e-08
YER081W,2.99028849927653,8.98619207834249,1062.65150752702,5.89072583575837e-11,6.88481679536187e-08
YAR071W,-4.22054149219281,7.67951500338207,1031.28746753158,6.76973136220439e-11,6.88481679536187e-08
YOR153W,-2.72996146795926,9.85774245762338,695.940078138485,4.18765719098804e-10,3.65044059705843e-07
YIL121W,-2.9208520278406,6.74504711877527,661.718130882747,5.28676749777332e-10,4.0324819089266e-07
YOR290C,-7.26395379521386,6.48184288916831,594.989056394069,8.63674113027687e-10,5.85571048632772e-07
YPR149W,-2.25985658633572,8.48159933169267,574.969101249774,1.0113913187967e-09,6.17150982729745e-07
YER138C,-2.45094993719125,7.58460875543151,502.456991295494,1.88210557429462e-09,9.94941631401754e-07
YKL109W,-2.08089699382931,7.72681042128784,492.168304210366,2.0700849312055e-09,9.94941631401754e-07
YDR261C-D,-2.52368977771248,7.56819639470834,489.642258834768,2.11967243661468e-09,9.94941631401754e-07
YBR244W,-2.43640806485319,5.09998327155929,481.481124054572,2.29004040502795e-09,9.98130467962894e-07
YDR077W,-3.47364499776607,11.4967201988012,463.43762640984,2.72962060723927e-09,1.06291108217301e-06
YJR029W,-2.28503444041687,7.7002347814106,456.367953677621,2.92940582729032e-09,1.06291108217301e-06
YML039W,-2.46145069873513,7.62254266937137,453.287574673222,3.02198533446798e-09,1.06291108217301e-06
YDR098C-B,-2.15086831179841,7.37812711357145,449.665496946212,3.13543092086435e-09,1.06291108217301e-06
YAR009C,-2.39568348728505,7.24900889889467,441.948026976587,3.39488189267301e-09,1.09029312153109e-06
YPL019C,-2.30119992698299,7.97198193664533,428.867819542302,3.89689188880708e-09,1.14560821355213e-06
YIL169C,-2.8376321798722,7.64129813745091,427.779278299079,3.94260447141834e-09,1.14560821355213e-06
YHR136C,-4.48776837626813,5.72471710878197,415.163962340326,4.52293548700617e-09,1.14634487960186e-06
YER001W,-2.24744162588591,6.33548522010346,414.178882150849,4.57247900492886e-09,1.14634487960186e-06
YOR273C,-2.1668974336356,8.04973937306684,411.163758075389,4.72826867179582e-09,1.14634487960186e-06
YPL257W-B,-2.43876006765801,7.39728424620084,408.025915593084,4.89729446148784e-09,1.14634487960186e-06
YOL109W,-3.02815476686342,8.52124889965287,405.979187816529,5.01150392159565e-09,1.14634487960186e-06
YML045W,-2.29718458332114,7.67891768094268,404.912232775764,5.07232247611441e-09,1.14634487960186e-06
YPR158W-B,-2.27039525482073,7.47920546747259,390.678856931148,5.97607833767214e-09,1.30235821487412e-06
YDR365W-B,-2.30403778872076,7.48865516675466,385.69749815499,6.33781062695527e-09,1.31168673915841e-06
YER011W,-4.28306144221153,7.53824838088482,382.480713997184,6.58556512399095e-09,1.31168673915841e-06
YNL284C-B,-2.09462562167681,8.00555287963857,379.435422910345,6.83102277488723e-09,1.31168673915841e-06
YOL103W-B,-2.51009432077128,7.81129993804507,377.550958459791,6.98848334248677e-09,1.31168673915841e-06
YBL005W-B,-2.09998988502051,7.45099755579477,372.63491057402,7.42046583732843e-09,1.31168673915841e-06
YJR027W,-2.43759482040735,7.86644904129275,372.448392516909,7.43748427424696e-09,1.31168673915841e-06
YPR158C-D,-2.32954290806966,7.84016869353429,371.512410921836,7.52360469854874e-09,1.31168673915841e-06
YLR157C-B,-2.40471075276441,7.89808605824452,359.024047508612,8.79714371686185e-09,1.49111586000808e-06
YGR038C-B,-2.21741972601868,7.59726861388304,349.312539345314,9.97173209637865e-09,1.6310411979192e-06
YNL160W,-2.5747559243371,7.0609161507254,347.517450384239,1.02092280164926e-08,1.6310411979192e-06
YBR092C,-2.96370771777513,7.40755236192767,345.933224209443,1.04245504291787e-08,1.6310411979192e-06
YGR027W-B,-2.35645137398725,7.78858111772882,337.240287225662,1.17092230701445e-08,1.78624197935054e-06
YKL062W,-2.113838784917,7.12934869493514,333.909325577505,1.22519305586698e-08,1.82344586021959e-06
YHR214C-B,-2.15858007420893,7.57666077190548,329.747360974175,1.29736023214199e-08,1.84402552978284e-06
YBR012W-B,-2.00139530244168,7.16452546294518,329.630453807549,1.29946079614327e-08,1.84402552978284e-06
YGL028C,-1.76831319916393,6.61323784021408,327.826706636231,1.3323993608194e-08,1.84779565902726e-06
YER160C,-2.13725477648164,7.40674999658677,326.018865962747,1.36643501198777e-08,1.85288587625542e-06
YDR316W-B,-2.24551350448033,7.50346276176482,319.630034102069,1.49548455461594e-08,1.98379277223184e-06
YLR227W-B,-2.32138378682192,7.47685871161199,310.791419552743,1.6993402989228e-08,2.05464428796426e-06
YPR137C-B,-2.2596390088357,7.40366929676309,310.692203739855,1.7018137290757e-08,2.05464428796426e-06
YOL155C,-2.09548245734255,7.84418513311102,310.672827770159,1.70229727793163e-08,2.05464428796426e-06
YGR035C,-3.72194936849792,5.6614090745536,310.180511658154,1.71463970804404e-08,2.05464428796426e-06
YBR067C,-3.08865686920639,9.05541242330772,310.076771672915,1.71725432130739e-08,2.05464428796426e-06
YHL047C,-1.72280175990826,7.53350156662273,304.181088845008,1.87413456058926e-08,2.18969661288577e-06
YLR035C-A,-2.08146065506169,6.84741682261025,303.20006623408,1.9018997129293e-08,2.18969661288577e-06
YGR161C-D,-2.05830068366052,7.56132905336483,292.814799664222,2.22874290416381e-08,2.48058368503139e-06
YDR210C-D,-2.09377787058857,7.42938390555465,292.609633411968,2.23585877870741e-08,2.48058368503139e-06
YKR039W,2.18915621711395,6.99883212142965,291.196072983412,2.28564267007573e-08,2.49053420942894e-06
YJL012C,-1.47736060358179,8.19510379857125,288.245883923162,2.39395012220232e-08,2.56278660450501e-06
YMR050C,-2.29338828495943,7.86030911406055,278.069058538151,2.81865489896007e-08,2.96541934369903e-06
YDR399W,-2.07096811984368,7.62550444798553,276.046098552857,2.91367151927182e-08,2.96577394950167e-06
YMR045C,-2.17212664903473,7.52765906473904,275.993393154606,2.91619857374796e-08,2.96577394950167e-06
YOR142W-B,-2.11877605670007,7.29792665427516,274.482003586106,2.98980997457793e-08,2.99079024014336e-06
YDR406W,-1.96655921658407,7.46295178835767,263.548803725832,3.59523490724509e-08,3.52718248967906e-06
YMR122C,2.19864966066008,4.637945327816,262.804411967318,3.64163383890169e-08,3.52718248967906e-06
YLR300W,-1.45019012047892,9.22317463245376,260.14249454759,3.81361297245907e-08,3.57899232007358e-06
YIL056W,-1.65241928647484,7.04767138339902,259.849690355143,3.83312617403074e-08,3.57899232007358e-06
YMR195W,-1.55992615124629,6.78367107116719,259.285277321025,3.87108313872265e-08,3.57899232007358e-06
YLR413W,-2.36738342299509,8.34136972139237,257.988115230472,3.96006100656485e-08,3.6066107853819e-06
YBR093C,-2.35182766297268,7.27895554247577,255.370738310181,4.14727793741411e-08,3.67291715217927e-06
YAL061W,-2.24055416203029,7.34909893955314,255.289625108854,4.15324948378187e-08,3.67291715217927e-06
YER124C,-1.89896647007422,6.50986761699983,249.338940329991,4.62128686055359e-08,4.02571147688182e-06
YNL054W-B,-2.00452688045486,7.25286160821586,248.595878376325,4.6841283982073e-08,4.02571147688182e-06
YER042W,1.40580561348634,5.99146167187811,243.851304238507,5.11078772938315e-08,4.33139260065222e-06
YMR272C,-1.41228310042278,7.35715393580907,242.631351263841,5.22802249808825e-08,4.37005387442938e-06
YPL095C,-2.08016672044214,6.39233484472799,240.564553202535,5.43417963438281e-08,4.43799936693302e-06
YDR281C,-3.53957235448151,3.14945861330523,240.363384321569,5.45476815011433e-08,4.43799936693302e-06
YOL158C,-1.73461878127568,7.65560906261952,234.708105048433,6.07430391080535e-08,4.87702663996503e-06
YML122C,3.09552317302041,3.12146493122897,232.446737226642,6.34575436787356e-08,5.02880430555383e-06
YDR034C-D,-1.40021936193583,6.43931370175031,230.174405208491,6.6334951486224e-08,5.1242140875357e-06
YLL061W,1.46532651519477,6.535459327969,230.169738836866,6.63410214544937e-08,5.1242140875357e-06
YMR056C,1.8992815004472,5.84954932549602,227.857567447424,6.94334119009834e-08,5.29603349274751e-06
YJL077C,1.6898921238491,4.94173685458099,224.218775593636,7.46625535456332e-08,5.62457903377103e-06
YER072W,-1.23635325017035,8.23684372161966,221.354165369619,7.91182838577898e-08,5.88755814756382e-06
YDL241W,-1.68996851551269,4.60329494035438,220.036721078448,8.12755647238461e-08,5.97522284270975e-06
YLR136C,-1.82939835631186,5.37229525237485,219.422212781486,8.23061958899027e-08,5.97895723000222e-06
YMR006C,-1.74489080010997,7.31257816433967,214.057928368301,9.20112159384187e-08,6.57143689591096e-06
YNR067C,-1.56976294917246,6.6481909933065,213.746532132556,9.26161214435172e-08,6.57143689591096e-06
YBR070C,1.50032284187511,5.52684190454873,212.064540845199,9.59682155092647e-08,6.66417418255969e-06
YLL053C,-2.35199820589904,3.79102423761728,211.996251278973,9.61073956186911e-08,6.66417418255969e-06
YCL019W,-1.38732267101418,6.21105566880758,207.492614384309,1.05852415392316e-07,7.25743189577427e-06
YLR108C,1.87358392320638,6.01267217162459,206.859646176128,1.07316333870335e-07,7.27604743640874e-06
YLR410W-B,-1.33930174518339,6.45124030740856,204.615343331511,1.1270890426512e-07,7.55768938270071e-06
YOR343W-B,-1.33333599217772,6.31109264775471,198.725427395802,1.28505693507511e-07,8.5232798019873e-06
YDL039C,-3.39961168771261,7.67686412110586,193.520113859162,1.4475375445162e-07,9.49771408240627e-06
YGR051C,2.50988712257463,4.87755594350348,192.013369931459,1.49915339911737e-07,9.73173834193001e-06
YPL134C,1.5145715527851,6.28480507696619,190.618481067527,1.54894143876716e-07,9.94909543090234e-06
YDR055W,-2.06048229834814,7.50798336082378,189.432783032775,1.59284825269296e-07,1.00883292407929e-05
YOR376W,3.60344091174785,2.95791503977462,189.146261349423,1.60368393372159e-07,1.00883292407929e-05
YNL327W,-1.381611743093,8.35744672092361,187.804858818662,1.65561905911119e-07,1.03087627537719e-05
YNL134C,-1.23207980738548,7.33647255836113,186.194084384469,1.72070804707212e-07,1.06058186901354e-05
YIL094C,-1.2754728703824,7.95061657605111,185.730343637853,1.74002011429392e-07,1.06176027374215e-05
YOR348C,2.0526678182582,5.04662338670966,185.084278028507,1.76736545150981e-07,1.06776871139732e-05
YGR087C,3.26894037457967,3.63894571437037,183.129719464736,1.85332949389185e-07,1.1087271148753e-05
YDL037C,-4.39831618621356,4.70736841614712,182.465173910389,1.88370758486916e-07,1.11595958086132e-05
YHR092C,-2.28828276564675,9.94995800893149,181.176255225072,1.94436897274284e-07,1.14082110304585e-05
YFR015C,-2.97804196224207,9.25751639628257,180.360779034085,1.98397448713592e-07,1.15297260195271e-05
YFL002W-A,-1.31605141950083,6.34689918877748,179.192917364515,2.04241429751986e-07,1.17052966920977e-05
YPR015C,1.77234198551268,4.30891855994305,178.862854993764,2.05930789139937e-07,1.17052966920977e-05
YLR214W,-1.18557009094648,7.52145840362214,178.622169101198,2.07173392780491e-07,1.17052966920977e-05
YBL100W-B,-1.22520525904854,5.75242611356878,178.058729624283,2.10118066936589e-07,1.1762756371074e-05
YLL052C,-2.79477530340863,3.20749254238479,172.914288287648,2.3949667901028e-07,1.32855339574612e-05
YOR306C,-1.22954957244712,6.71842577543795,171.671740431067,2.4732550939988e-07,1.34803257342316e-05
YCL064C,-1.40408656845594,8.57823694128401,171.547978932253,2.48122175980057e-07,1.34803257342316e-05
YOR192C-B,-1.2996093547439,6.51789577561435,171.314183221765,2.4963566174503e-07,1.34803257342316e-05
YEL071W,1.12465364256366,8.85898874195185,167.340073846877,2.77161446356194e-07,1.48354311023289e-05
YOR108W,-1.37511060150295,6.62289882609306,165.546693502964,2.90783262572136e-07,1.54292127670885e-05
YGR161W-B,-1.32733066186351,6.46611113857309,165.000754210896,2.95090421945021e-07,1.55227737474873e-05
YGL162W,-1.58931172138373,5.95565453350765,160.55145597431,3.33241729381891e-07,1.73798378862248e-05
YDR044W,-2.05641638176105,8.10144164267003,159.503691027719,3.43080812466505e-07,1.77413484548357e-05
YEL066W,1.38199766848799,5.20159697410015,159.072352453081,3.47233572370681e-07,1.7805203853831e-05
YHR128W,-1.27253942979937,6.68509445359127,158.632016162329,3.51536060686861e-07,1.78756086859269e-05
YLR151C,1.48954727028135,5.53133251067622,157.799967150574,3.59843988203391e-07,1.81468431075793e-05
YGR177C,-1.58711415572313,4.61300010749764,157.391912770529,3.6400540558834e-07,1.8206237581148e-05
YPL057C,-1.1643500133016,7.34445420996432,156.730966109277,3.70870525491364e-07,1.83987963134008e-05
YNL217W,-1.6205167504563,7.33983570919221,154.646793310357,3.9357193052076e-07,1.91970938663188e-05
YJR010W,1.22813491716568,6.4556730733498,154.636472734695,3.9368847670533e-07,1.91970938663188e-05
YFR030W,1.17491332551551,6.53926752097975,154.397384507059,3.96400168331067e-07,1.91970938663188e-05
YNL300W,-1.57744188583388,6.44407115713282,153.370259100218,4.08310706121476e-07,1.9399102094767e-05
YDL022W,-1.63110872882558,8.71343955923846,153.29777377315,4.091675422737e-07,1.9399102094767e-05
YBR069C,-1.26059619317533,7.63913205972781,153.218354965518,4.10108844677965e-07,1.9399102094767e-05
YAL044C,-1.21600070515513,6.98445176078502,151.556206472454,4.30426110330435e-07,2.02035394248947e-05
YGR233C,-1.22473231681255,6.31191592682854,151.132280310499,4.35802158085244e-07,2.02997310582913e-05
YDR210W-B,-1.17945606564843,6.29011211939553,150.4895787662,4.44108953687717e-07,2.05299457227458e-05
YDL182W,-1.28382219944617,8.19130574846581,150.089993215407,4.49370466467934e-07,2.06169818525364e-05
YER037W,-1.86337567321044,5.59484540279383,147.784557815351,4.81249128773991e-07,2.19147924162604e-05
YBR034C,-1.35687036181538,7.19688393536808,146.932353348829,4.93723806457213e-07,2.2316316051866e-05
YDL048C,-1.34495875653334,7.40746751618983,144.788263485184,5.26887980465576e-07,2.36402239470658e-05
YMR120C,-2.18121479284114,7.50371854264116,144.170502596668,5.36940972901111e-07,2.3915429318559e-05
YLR058C,-1.92423856353814,8.40841672704853,143.045953387938,5.55845635280523e-07,2.45220557618211e-05
YPL025C,3.27738269352218,3.9968511935602,142.886095643017,5.58598123712411e-07,2.45220557618211e-05
YDR089W,-1.34989604212655,5.44990100769113,142.065049044618,5.72998726076013e-07,2.49745587608273e-05
YBL044W,2.93891434382544,3.21175543090755,138.560945581898,6.39763067618137e-07,2.7686767649687e-05
YMR280C,1.41917928532802,6.12752025729344,136.642886305962,6.80307175506397e-07,2.92340449643664e-05
YAR015W,-1.44071337163247,7.69725185881048,136.246070033018,6.8908051108025e-07,2.94039809693125e-05
YDR261W-B,-1.25796331920444,6.17139214975369,135.529672090076,7.05270023096559e-07,2.98858172287167e-05
YHR143W,-1.31349363142007,8.89810209361483,133.305084208169,7.58570802413505e-07,3.19227519746704e-05
YGR067C,1.91413263314657,4.48841268737436,132.888358499513,7.69092313166679e-07,3.21438444859115e-05
YDR011W,-1.23259180429984,7.79586764392618,132.357917586677,7.82742358042537e-07,3.24917950256841e-05
YKR069W,1.02010404916221,5.82833828686567,131.650324456349,8.01411918975178e-07,3.30419968215307e-05
YMR015C,-1.43682419316292,5.95228640124591,129.755990172174,8.54118831802153e-07,3.4978745715817e-05
YFR055W,-1.93687419422357,6.89258306054944,129.167518214197,8.71342393670412e-07,3.54462085745124e-05
YDR345C,-1.27655014970416,11.8954165912871,126.144479361033,9.66769787024898e-07,3.9067743314079e-05
YPR009W,-1.27087005289845,5.63023609457898,125.721070305794,9.81127418114451e-07,3.93871020087788e-05
YHR216W,-1.36796220469074,8.08142937244302,123.473512624875,1.06182401387201e-06,4.23480400826601e-05
YIL011W,-1.66290575836291,5.37175808334702,123.159804499963,1.07371813896832e-06,4.25443382076928e-05
YGL255W,-1.48474358669629,6.92235996523318,122.931224254643,1.08248661168792e-06,4.25562309629642e-05
YLR312C,1.48992797708889,4.8257244786044,122.789508398247,1.08796657329112e-06,4.25562309629642e-05
YLR111W,3.21944197547832,3.22609198796859,121.367712765025,1.14485239883622e-06,4.44961104312012e-05
YEL065W,-1.35247619801236,6.62254915673123,121.078939684907,1.15684350699098e-06,4.46775891117656e-05
