"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"15S_rRNA",16.9947944123459,-0.136617752472874,0.34070294623607,-0.400987881032919,0.688429046464786,0.731392334852602
"21S_rRNA",102.643528210811,-0.243674790159438,0.289560602269229,-0.841532958039895,0.400049429411579,0.454886923451482
"HRA1",2.55064872340489,-0.851126005034614,0.230476663922197,-3.69289450198711,0.000221716017364897,0.000365107577028777
"ICR1",142.96182189378,0.22984520569802,0.0347771943647901,6.60907844626837,3.86719769112216e-11,9.556947632224e-11
"LSR1",196.640748716145,-0.214104313414264,0.162418454796462,-1.31822651362232,0.187427832434463,0.226990435586856
"NME1",26.2341324276802,0.0298910141842781,0.134186200314041,0.222757735999104,0.823724063285718,0.853988883560032
"PWR1",0,NA,NA,NA,NA,NA
"Q0010",0,NA,NA,NA,NA,NA
"Q0017",0,NA,NA,NA,NA,NA
"Q0032",0,NA,NA,NA,NA,NA
"Q0045",1.74548953512848,0.721732954413887,0.376954716604287,1.9146409969756,0.0555383029974865,0.0727375339809197
"Q0050",9.36425077015168,-0.00742208757980933,0.321706282683574,-0.0230710060055296,0.981593633383985,0.984023320595331
"Q0055",6.32050405565477,0.274159015608379,0.356727191081531,0.768539720163129,0.442166602237733,0.496788031397976
"Q0060",0.248776130425029,-0.258473777629567,0.66266340515544,-0.390052892039416,0.69649743602896,0.738660635714632
"Q0065",0.244461128566852,-0.58793589582618,0.649531812395318,-0.905168745558455,0.365375996925816,0.419688645117491
"Q0070",0.030806352391842,-0.295267798292153,2.91950649962587,-0.101136201727926,0.919442340542132,0.933268541151789
"Q0075",0.123132940575297,-0.711461984605011,1.18180276567914,-0.602014147594381,0.547164720109123,0.598638026052965
"Q0080",0,NA,NA,NA,NA,NA
"Q0085",0.616892953315819,0.400163229054727,0.580081299331171,0.689839906089219,0.49029487009633,0.545037173267123
"Q0092",0,NA,NA,NA,NA,NA
"Q0105",0.678487185569362,0.603871914246001,0.515678333407371,1.17102440635015,0.241588967005131,0.287526367818552
"Q0110",0.0810461831771134,-0.301507706639446,1.42521709969434,-0.21155212542995,0.832456462243045,0.862263087489599
"Q0115",0,NA,NA,NA,NA,NA
"Q0120",0.255651651805444,0.525250159441614,0.623414382758791,0.842537762951872,0.399487011299382,0.454397500874978
"Q0130",3.63918067119918,0.441797414573847,0.288062996797153,1.5336833244325,0.125107578133197,0.15579050017129
"Q0140",0,NA,NA,NA,NA,NA
"Q0142",0,NA,NA,NA,NA,NA
"Q0143",0,NA,NA,NA,NA,NA
"Q0144",0,NA,NA,NA,NA,NA
"Q0160",1.3305377998814,-0.252135184830121,0.415993767439596,-0.606103275012964,0.544446176378663,0.596326184406837
"Q0182",0,NA,NA,NA,NA,NA
"Q0250",1.53698505524484,0.107610087207389,0.409598518644484,0.262720889625068,0.792765714633877,0.826623041837687
"Q0255",0.0795136928732656,0.0326209460258387,1.75110815547425,0.0186287442747955,0.985137272196653,0.987144537778192
"Q0275",1.61281162872186,-0.223901979543836,0.464484565154689,-0.482043960856415,0.629774717628611,0.676442890931823
"Q0297",0,NA,NA,NA,NA,NA
"RDN18-1",0,NA,NA,NA,NA,NA
"RDN18-2",0,NA,NA,NA,NA,NA
"RDN25-1",0,NA,NA,NA,NA,NA
"RDN25-2",0,NA,NA,NA,NA,NA
"RDN37-1",0,NA,NA,NA,NA,NA
"RDN37-2",0,NA,NA,NA,NA,NA
"RDN5-1",89.6125458381217,-0.064868828333292,0.23859691519724,-0.271876223880209,0.785717193452658,0.820516134828082
"RDN5-2",4.26171203418186,-0.362583503789997,0.189940074188022,-1.90893630709587,0.0562703086411054,0.073626202013305
"RDN5-3",0,NA,NA,NA,NA,NA
"RDN5-4",0,NA,NA,NA,NA,NA
"RDN5-5",0,NA,NA,NA,NA,NA
"RDN5-6",44.3734139645753,0.0397008091132233,0.30760409749666,0.12906463027091,0.897306508834171,0.916372614422279
"RDN58-1",0,NA,NA,NA,NA,NA
"RDN58-2",0,NA,NA,NA,NA,NA
"RNA170",15.642595266465,0.504293723920988,0.0915567386593102,5.50799134291474,3.62951251327021e-08,7.72224772987187e-08
"RPM1",0,NA,NA,NA,NA,NA
"RPR1",55.3258985346279,-1.3011751697148,0.154829999107078,-8.40389573867355,4.31906179380516e-17,1.39609110095533e-16
"RUF20",127.649753882462,0.194316323965012,0.0916878033575777,2.119325764706,0.0340629457024353,0.0459579426143968
"RUF21",39.4524460719862,0.309582685768008,0.246388314548902,1.25648282604151,0.208940968709491,0.250925967131492
"RUF22",0.163631603175257,-0.58077557056464,0.75309722926504,-0.771182721162616,0.440598634426688,0.49526883233106
"RUF23",7.81079889731592,0.423498420041597,0.124314390065432,3.40667254867833,0.000657599694653362,0.00104853494619926
"RUF5-1",319.823623644281,-0.17696146552363,0.0896525127454415,-1.97385951720163,0.0483977190527577,0.0641174323029126
"RUF5-2",208.527719704648,-0.181028336330091,0.0928905207427111,-1.94883541272747,0.0513150832145643,0.0676957938172591
"SCR1",472.012417479586,-0.30973293736875,0.296455936762038,-1.04478574708851,0.296122003721792,0.346557877889604
"SRG1",194.76187335184,-1.20872390713093,0.0751876843182343,-16.0760890309504,3.75338888579865e-58,4.09541719155684e-57
"TLC1",1529.70918305959,0.207529909118814,0.0399097854977465,5.19997555813804,1.99314734741314e-07,4.05400871106041e-07
"YAL001C",563.980159050811,0.36378067772943,0.0374481376462861,9.71425284657669,2.62164624142172e-22,1.03084148327747e-21
"YAL002W",486.448012777985,-0.138461834854002,0.0368218840732811,-3.76031369221744,0.00016970042208592,0.000282765587139777
"YAL003W",8651.89372401942,-0.868072431435156,0.0429021351307857,-20.2337815772774,4.93677489854525e-91,9.31224525383124e-90
"YAL004W",0,NA,NA,NA,NA,NA
"YAL005C",11839.7100440113,-0.750480340260598,0.0582297779496655,-12.888256948349,5.24151108336122e-38,3.4666478202634e-37
"YAL007C",1114.14325305111,0.249441184543283,0.0249010927198589,10.0172786531713,1.27978212773267e-23,5.27306998769564e-23
"YAL008W",457.591748850013,0.20491918446753,0.0454691005679364,4.50677893136144,6.58191446824657e-06,1.21296790990037e-05
"YAL009W",359.465533707818,0.243116921378594,0.0238851206134606,10.1785929957408,2.47108362274564e-24,1.04762381419974e-23
"YAL010C",341.893044305556,0.0913941201112371,0.0325728567402468,2.80583679964156,0.00501861033580092,0.00740054233497308
"YAL011W",436.320088207284,0.328663474274118,0.0298124962845324,11.0243527122765,2.91608786304936e-28,1.40893087277858e-27
"YAL012W",6070.35909399642,0.268884203210683,0.0500009816346387,5.37757848786733,7.54943057192046e-08,1.57317885858573e-07
"YAL013W",1315.42205189224,0.312927330679824,0.0439276195790646,7.12370334833625,1.05065051610116e-12,2.80703484802348e-12
"YAL014C",1203.52742404388,0.245806788853393,0.0480892690188184,5.11146860554697,3.19663953158314e-07,6.42594545254013e-07
"YAL015C",508.800486242451,0.488825586645089,0.0325250888068328,15.0291853020982,4.72784611960632e-51,4.41073448963273e-50
"YAL016C-A",24.4184028680179,-0.622827508309419,0.125782649107337,-4.95161703724275,7.35993341271933e-07,1.44615129984511e-06
"YAL016C-B",53.1688695771426,0.775214102447643,0.0880060717621544,8.80864339159167,1.26669457182436e-18,4.34106128771066e-18
"YAL016W",1691.70616727104,-0.0232395319722185,0.0133267540596839,-1.74382538074464,0.0811895433348507,0.104075592228718
"YAL017W",1186.05959627774,0.0226315658827031,0.039337596047529,0.5753164442321,0.565077302095357,0.615497108831915
"YAL018C",2.498329500076,-0.0955325627502145,0.220899989751751,-0.432469747316759,0.665400035267382,0.70950584525568
"YAL019W",642.665198969045,-0.546968779798301,0.0653816407677428,-8.36578546172182,5.97157665979669e-17,1.91051604566451e-16
"YAL019W-A",0.944171728929356,-0.0129671118183792,0.366019173920601,-0.0354274113005677,0.971738927369995,0.976418930960656
"YAL020C",484.349070517173,0.198750326325339,0.0592006855912706,3.35723014590638,0.000787275515869544,0.00124578072322726
"YAL021C",1166.26925246561,-0.296103759070982,0.0347680937591947,-8.51653706187659,1.64395060303404e-17,5.42338279918034e-17
"YAL022C",1139.63974741054,0.110043980740338,0.0530766422974383,2.07330335863482,0.0381440563345517,0.0511634186369353
"YAL023C",3802.05303270365,-0.0785828769848625,0.0314121156226868,-2.50167412882269,0.0123607640583196,0.0175146862608625
"YAL024C",262.444188651028,0.219858736021716,0.0384465758657059,5.71855181043126,1.07435759682944e-08,2.34080761207932e-08
"YAL025C",721.632533080209,-1.19437267412088,0.0917804961188763,-13.0133604047411,1.02723511179809e-38,6.95429080111098e-38
"YAL026C",893.608211964107,-0.0181308400007213,0.0299877609376621,-0.604607994521876,0.545439493483956,0.597020998849034
"YAL026C-A",22.7569370864392,0.655417539370068,0.162950146942705,4.02219667589818,5.76578808346203e-05,9.9492358282296e-05
"YAL027W",243.305038196628,-0.066018086583933,0.0310952929292083,-2.12308939279749,0.0337463617035136,0.0456022964335017
"YAL028W",472.494015103081,0.192672707497845,0.0413979199742599,4.65416396808449,3.25297869161959e-06,6.13609816213722e-06
"YAL029C",1268.73485163078,-0.0328515899816637,0.0324884862457276,-1.01117638209394,0.311932017619739,0.363085704363804
"YAL030W",761.848988909083,0.331523164161316,0.0548301044577115,6.04637119407658,1.48144565774698e-09,3.40218590846831e-09
"YAL031C",525.146202373037,0.244319767603417,0.0297631164539313,8.20880998740794,2.23391424752991e-16,6.95006759794099e-16
"YAL031W-A",10.1403963788634,0.996806177177588,0.148658298769864,6.70535170539471,2.00921845969561e-11,5.05609250548403e-11
"YAL032C",628.66016439664,0.300520484448181,0.034197947079759,8.78767616510092,1.52685340531412e-18,5.21965526096708e-18
"YAL033W",255.35228349254,-0.216884527882437,0.0364880007369162,-5.94399593022939,2.78156509174437e-09,6.28110057614299e-09
"YAL034C",590.079656414402,0.074268482723124,0.0408355741634347,1.81872017829067,0.0689541316316807,0.0892553480511602
"YAL034C-B",30.9769924938411,0.00432015602487852,0.109429524480648,0.0394788887677432,0.968508584715931,0.973841056317644
"YAL034W-A",136.465370528138,0.377890963359345,0.0351105867065715,10.7628780606112,5.15350611917393e-27,2.39904595202924e-26
"YAL035W",4421.8894460767,-0.396537013615068,0.0432937892506706,-9.15921245237102,5.22774321181703e-20,1.88445089075185e-19
"YAL036C",546.706323212115,-0.662001088334942,0.0667764306508749,-9.91369382703399,3.62972883055506e-23,1.46487004679787e-22
"YAL037C-A",27.867347979902,-0.528044102645537,0.253076711205333,-2.08649820100242,0.0369335179926061,0.0496073490790272
"YAL037C-B",194.354995869583,-0.375343765073024,0.19330006570079,-1.94176739522696,0.0521652656667137,0.0687120440243589
"YAL037W",67.2117149495576,0.512476676036166,0.0582419054809499,8.79910558908122,1.37910878636659e-18,4.72161312488016e-18
"YAL038W",21106.6336168437,-1.24221523054377,0.0682461089206299,-18.2019934937018,4.97634149403968e-74,7.33664051101995e-73
"YAL039C",2037.38699770748,0.0259740156810425,0.0574593187052378,0.452041831792113,0.651238846942401,0.696563532887748
"YAL040C",811.634873869591,-0.0964170573180369,0.0571715836319823,-1.68645070143029,0.09170902286356,0.116712869208061
"YAL041W",691.174749827848,-0.0389256584047807,0.0237332323076267,-1.64013303793735,0.100977508426323,0.127729220193871
