genes,logFC,logCPM,F,PValue,FDR
YIL121W,-2.83399194304577,6.68135527236749,13869.4470999301,2.77761607224313e-99,1.69267923442497e-95
YDR033W,-3.76544067324611,8.92385137171844,11455.27856429,1.27055930958077e-95,3.87139421629262e-92
YML123C,-4.66967795007171,9.15259385563678,10475.7354424334,6.50351105369338e-94,1.32107987870692e-90
YGR234W,-4.21195965361935,8.46259942854707,9269.41803916663,1.41344065232835e-91,2.15337683382224e-88
YOR290C,-7.55756186854641,6.53080728895008,9001.7182740449,5.12529245281756e-91,6.24670644149404e-88
YHR215W,-4.4588817091718,7.23075423585277,8922.46243520777,7.55983519164372e-91,7.67827260964614e-88
YAR071W,-4.26209800786599,7.58919849281202,8180.03787964972,3.43464560833051e-89,2.99010433388087e-86
YER081W,3.15091309498784,9.12584005046035,6928.00622940668,5.02078101371185e-86,3.824579937195e-83
YPL257W-B,-2.47433369139223,7.3394202413413,6272.52733466047,3.90168363544048e-84,2.64187334159714e-81
YER138C,-2.46335741929948,7.54046057074284,6172.43667729077,7.88804700344414e-84,4.80697584389886e-81
YDR365W-B,-2.35241150058991,7.44390117421444,6055.64496714773,1.81944696939014e-83,1.00797362104214e-80
YOR153W,-2.76062569586354,9.76133248301426,6022.83150938631,2.30760034241088e-83,1.17187637388766e-80
YDR261C-D,-2.58844272035624,7.5300073409238,6007.73300017847,2.57538564308433e-83,1.20726154684276e-80
YJR027W,-2.39440007303426,7.81161536454768,5985.12500171964,3.03710977158503e-83,1.29234402984526e-80
YGR038C-B,-2.26685798863722,7.56480951438623,5978.79300643614,3.18102403145371e-83,1.29234402984526e-80
YML039W,-2.47588171825653,7.57809543506164,5917.35788383276,4.99739085790333e-83,1.90338124300393e-80
YJL012C,-1.41319389998582,8.1584875141706,5906.90639889607,5.39904498124631e-83,1.93539883033618e-80
YML045W,-2.33101526510601,7.60816475810742,5812.54671499788,1.09171347510027e-82,3.69605662070059e-80
YOL103W-B,-2.49869134503652,7.76760852609317,5746.6391880202,1.79725710791227e-82,5.76446569243021e-80
YAR009C,-2.45404899368127,7.18921236495034,5687.0537427259,2.83439034664281e-82,8.63638738622066e-80
YPR137C-B,-2.28475364838882,7.35574374800948,5576.50593665774,6.68334531441898e-82,1.93944315933663e-79
YLR157C-B,-2.44523993645044,7.85537618207178,5564.46283264945,7.34541354747847e-82,2.03467955265154e-79
YPR158C-D,-2.43165386655322,7.77428930926134,5548.35253638906,8.33737881305147e-82,2.20904289072764e-79
YCL064C,-1.36191545701544,8.4956136718999,5345.78201027475,4.23164206670257e-81,1.07448444810356e-78
YLR227W-B,-2.36014138063471,7.4339650402345,5329.07423943092,4.85138063198706e-81,1.18257254285316e-78
YJR029W,-2.31048300022475,7.66457904878733,5223.09223286761,1.16599783040536e-80,2.73291953018856e-78
YDR098C-B,-2.13727082364417,7.33722585052338,5093.92652357802,3.47734749385115e-80,7.84850208426997e-78
YPR158W-B,-2.33061205680771,7.42527068740572,5083.29634170124,3.80915283003195e-80,8.29034905221954e-78
YDR406W,-2.00513687678499,7.42429099223108,5077.40262381279,4.00689608986743e-80,8.42000854194901e-78
YDR316W-B,-2.28972704120743,7.42422173434523,4930.59473413649,1.44063144898258e-79,2.92640268336662e-77
